day_ahead,daily_volatility_%,annualized_volatility_%
1,1.2620805867350624,20.034908202140755
2,1.2696143031100333,20.154502241998365
3,1.2776872870964224,20.28265688979552
4,1.2875441183424088,20.439129234947583
5,1.2914893678566755,20.50175812939667
6,1.2946004235313395,20.551144607176894
7,1.2986316864779943,20.615138922535046
8,1.304241395519385,20.704190292840746
9,1.3133155466891704,20.848237976966292
10,1.316446756813986,20.89794439672399
11,1.3224497691109902,20.993239262654807
12,1.3289122554675896,21.095828053159064
13,1.3326156701031993,21.154617937924545
14,1.3381271497484972,21.24210996490926
15,1.3416814424729324,21.298532612722752
16,1.349860742427561,21.42837497419405
17,1.3537762376708367,21.49053153423423
18,1.358416984933589,21.56420111316271
19,1.3630112121512665,21.6371322092697
20,1.3659040009644945,21.683053808041088
21,1.3751818556268256,21.830335184861465
22,1.37989709899209,21.905187352755284
23,1.3857366633036619,21.997887562355608
24,1.39767214224935,22.187357416768037
25,1.4037094633467007,22.283196918019836
26,1.4091315885505165,22.36927048722035
27,1.4147077291559649,22.457788975125624
28,1.4186326601036876,22.520095322330278
29,1.419890254310863,22.540059011464805
30,1.42261537443417,22.583318952299095
